intento,boleta,estado,premio,codigo_premio,timestamp
1,870798,success,6 Empanadas Mini Snack,435766,2025-06-17 19:22:33
2,591108,success,Churros x3,386222,2025-06-17 19:22:41
3,403758,success,Cheese Stick x3,743903,2025-06-17 19:22:49
4,949062,success,Churros x3,352153,2025-06-17 19:22:57
5,897100,success,6 Empanadas Mini Snack,446801,2025-06-17 19:23:05
6,381703,success,6 Empanadas Mini Snack,448040,2025-06-17 19:23:13
7,586288,success,Papa Grande,661005,2025-06-17 19:23:21
8,143591,success,Cheese Stick x3,729138,2025-06-17 19:23:29
9,563078,success,6 Empanadas Mini Snack,420725,2025-06-17 19:23:37
10,336016,success,Siga Participando,SP,2025-06-17 19:23:43
11,513197,success,Bebida Grande,817406,2025-06-17 19:23:50
12,598812,success,Empanada Queso,552598,2025-06-17 19:23:58
13,744355,success,Empanada Queso,536612,2025-06-17 19:24:06
14,673570,success,Papa Grande,659329,2025-06-17 19:24:14
1,251635,error,,,2025-06-18 16:18:47
2,391335,error,,,2025-06-18 16:19:02
3,876518,error,,,2025-06-18 16:19:10
4,367303,success,Papa Grande,668361,2025-06-18 16:19:23
5,854918,success,Nuggets x6,202794,2025-06-18 16:19:32
6,467436,success,Cheese Stick x3,761198,2025-06-18 16:19:41
7,508596,success,Empanada Queso,563777,2025-06-18 16:19:51
8,967956,success,Churros x3,313352,2025-06-18 16:20:04
9,670967,error,,,2025-06-18 16:20:39
10,952494,success,Cheese Stick x3,717027,2025-06-18 16:20:49
11,165656,error,,,2025-06-18 16:20:55
12,146716,success,Nuggets x6,274814,2025-06-18 16:21:05
13,441344,success,Bebida Grande,882945,2025-06-18 16:21:13
1,835816,success,Filetillos x3,184443,2025-06-19 03:08:28
2,373507,success,Siga Participando,SP,2025-06-19 03:08:35
3,970926,success,Siga Participando,SP,2025-06-19 03:08:40
4,507177,success,Siga Participando,SP,2025-06-19 03:08:46
5,283347,success,Empanada Queso,572854,2025-06-19 03:08:54
6,915671,success,Empanada Queso,564063,2025-06-19 03:09:02
7,101151,success,Cheese Stick x3,729925,2025-06-19 03:09:10
8,533995,success,Siga Participando,SP,2025-06-19 03:09:16
9,340677,success,Papa Grande,645380,2025-06-19 03:09:24
10,254263,success,6 Empanadas Mini Snack,445983,2025-06-19 03:09:32
11,995187,success,Empanada Queso,597904,2025-06-19 03:09:40
12,752048,success,Siga Participando,SP,2025-06-19 03:09:46
13,162493,success,Papa Grande,692665,2025-06-19 03:09:54
14,305074,success,Siga Participando,SP,2025-06-19 03:09:59
15,921744,success,Empanada Queso,595240,2025-06-19 03:10:07
16,672591,success,Churros x3,327029,2025-06-19 03:10:15
17,548062,success,6 Empanadas Mini Snack,461001,2025-06-19 03:10:23
18,207447,success,Papa Grande,621415,2025-06-19 03:10:31
19,151765,success,Empanada Queso,537439,2025-06-19 03:10:39
20,330186,success,Bebida Grande,890673,2025-06-19 03:10:47
21,432862,success,6 Empanadas Mini Snack,440914,2025-06-19 03:10:55
22,455520,success,6 Empanadas Mini Snack,460947,2025-06-19 03:11:03
23,508668,success,Filetillos x3,128957,2025-06-19 03:11:11
24,963998,success,Nuggets x6,235367,2025-06-19 03:11:19
25,332217,success,Bebida Grande,814611,2025-06-19 03:11:27
26,546812,success,Empanada Queso,535048,2025-06-19 03:11:34
27,368559,success,6 Empanadas Mini Snack,467291,2025-06-19 03:11:42
28,124394,success,Nuggets x6,206323,2025-06-19 03:11:50
29,209458,success,Churros x3,321397,2025-06-19 03:11:58
30,563318,success,Filetillos x3,155656,2025-06-19 03:12:06
31,886308,success,Cheese Stick x3,772786,2025-06-19 03:12:13
32,705783,success,Filetillos x3,121986,2025-06-19 03:12:21
33,223200,success,Churros x3,331578,2025-06-19 03:12:29
34,520245,success,Bebida Grande,815774,2025-06-19 03:12:37
35,719836,success,Nuggets x6,272860,2025-06-19 03:12:45
36,816043,success,Filetillos x3,123971,2025-06-19 03:12:53
